Test (2D): snapshots basic ...
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = <nil>, nd = 0, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 1, index = 1
2024/09/05 23:27:50 cmd = 816940787154429542, cmd1 = 816940787154429542, nd = 3, index = 1
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = <nil>, nd = 0, index = 13
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:50 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:51 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:51 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 1, index = 13
2024/09/05 23:27:51 cmd = 3799443054410301073, cmd1 = 3799443054410301073, nd = 3, index = 13
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = <nil>, nd = 0, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 1, index = 14
2024/09/05 23:27:51 cmd = 8614592653321944884, cmd1 = 8614592653321944884, nd = 3, index = 14
signal: interrupt
FAIL	6.824/raft	34.612s
